Dataset,Model,RMSE,RMSE_CI_lower,RMSE_CI_upper,MAE,MAE_CI_lower,MAE_CI_upper,Pearson_r,Pearson_CI_lower,Pearson_CI_upper,Spearman_rho,Spearman_CI_lower,Spearman_CI_upper,Is_Pareto
biogen,symantic,0.8997693705175823,0.8673416603675006,0.9310972338081985,0.6864747217333145,0.6626669099253334,0.7106686781941051,0.3934891054810888,0.35699256235496746,0.4303173961576548,0.4367093309709048,0.4013444816178957,0.47104735109431656,False
biogen,symanticgp,1.10912219340856,1.0763048207134054,1.1434304460007434,0.8894513797559043,0.8606077777097497,0.9169390746403068,0.4108877384324295,0.37560608381046523,0.4454277645187145,0.4570113460652722,0.42314164737962395,0.4902149376096671,False
biogen,pysr,0.8154234243924543,0.7859084482395209,0.8458782523821331,0.6251682250010064,0.603122660407031,0.6478900514312418,0.4257558514554571,0.3908776557756884,0.4601340231965366,0.4825615382734011,0.44894802347348073,0.5164691818724191,True
biogen,esol,1.135741209112984,1.102976729905733,1.1687132717531137,0.9100033657500781,0.8808227895394807,0.9385160401710382,0.4376136121639461,0.40424124253110394,0.4693537668984536,0.4869834750918964,0.45285598221926443,0.519425027057879,False
biogen,esolgp,1.3662492377404523,1.325575204700894,1.4056160309095567,1.0915941344385593,1.057047465083156,1.125730010428205,0.3033465581934575,0.2649618309715879,0.3398599958887342,0.3550772619174882,0.31635715632819256,0.3911619779001706,False
biogen,rf,1.1135262665583112,1.08521752972379,1.1438035337723351,0.9122927852145214,0.8865610826424516,0.9395271036146429,0.47188434964217346,0.4428141392861322,0.49974854355606757,0.5100647217454769,0.4786531810213356,0.5400921265172283,False
biogen,chemeleon,1.0163541120892694,0.9854583049770949,1.0465998428481442,0.8056606886649013,0.7782542953811233,0.8325582528145052,0.5283261853053857,0.5027697448804657,0.554018586297153,0.5552146297794176,0.5250026840643434,0.5853062404278215,True
ochem,symantic,1.4250555368247202,1.3901867987390035,1.4606252762162983,1.0801488457508095,1.0589787562339,1.1016303451135996,0.7472240914978175,0.7312557668625148,0.7624535308609205,0.7226536909086646,0.7085012624010507,0.7356363407725471,False
ochem,symanticgp,1.3304107510996839,1.2930642061699016,1.3694579511423424,0.9937280861875604,0.9730127066499922,1.0138731482632148,0.7841714071751625,0.7709360557001431,0.7969343327722219,0.7560570731959734,0.742791568675163,0.7679314883427341,False
ochem,pysr,1.437874214082363,1.4050874907941178,1.4701713168139252,1.1173621226986599,1.0965800555809202,1.1382141404792094,0.7590113977315541,0.744522734697313,0.7732531180609172,0.7341496857943007,0.7208017969614094,0.7467273192147018,False
ochem,esol,1.53364208710756,1.485998367297862,1.5832969339197074,1.161710249207087,1.137576214354053,1.1847006133841305,0.7165727156895272,0.6975769909967926,0.7347619664671122,0.7008874895309785,0.6867046505540745,0.7149465260172398,False
ochem,esolgp,1.5493064827235126,1.5028902389998944,1.599544143329137,1.1549666129353116,1.1329713746106227,1.1794550745451802,0.7326962011009412,0.7176515660807807,0.7468970658012655,0.7210640477620868,0.707754910196444,0.7336444803815642,False
ochem,rf,1.1707506250148112,1.1413999606934015,1.2006720388379115,0.8522016785772819,0.8341817367078375,0.8705216883184259,0.8379888878353428,0.8285363391851801,0.8466144091538179,0.8046811470099237,0.7936489319837486,0.8146311886274644,False
ochem,chemeleon,1.1509864048945868,1.1229253677777886,1.177797937481207,0.8471811953445203,0.8290536657914886,0.8647836491760232,0.8448225088130362,0.8359945036636185,0.853105783761738,0.8151659288518791,0.8049906858123397,0.8246626056676974,True
